date,sessions
10/1/2016,307
10/2/2016,488
10/3/2016,945
10/4/2016,1668
10/5/2016,1667
10/6/2016,1244
10/7/2016,1279
10/8/2016,740
10/9/2016,763
10/10/2016,1064
10/11/2016,1234
10/12/2016,1153
10/13/2016,1191
10/14/2016,1150
10/15/2016,720
10/16/2016,730
10/17/2016,1049
10/18/2016,1090
10/19/2016,1073
10/20/2016,1092
10/21/2016,1002
10/22/2016,695
10/23/2016,652
10/24/2016,1075
10/25/2016,970
10/26/2016,1183
10/27/2016,1158
10/28/2016,1067
10/29/2016,657
10/30/2016,731
10/31/2016,1060
11/1/2016,954
11/2/2016,1008
11/3/2016,1081
11/4/2016,1015
11/5/2016,645
11/6/2016,610
11/7/2016,1004
11/8/2016,1021
11/9/2016,847
11/10/2016,1002
11/11/2016,891
11/12/2016,655
11/13/2016,578
11/14/2016,963
11/15/2016,1163
11/16/2016,1155
11/17/2016,1146
11/18/2016,1144
11/19/2016,712
11/20/2016,711
11/21/2016,1198
11/22/2016,1099
11/23/2016,1079
11/24/2016,802
11/25/2016,1013
11/26/2016,866
11/27/2016,859
11/28/2016,1616
11/29/2016,1802
11/30/2016,1405
12/1/2016,1404
12/2/2016,1330
12/3/2016,844
12/4/2016,846
12/5/2016,1517
12/6/2016,1732
12/7/2016,1520
12/8/2016,1566
12/9/2016,1608
12/10/2016,1030
12/11/2016,961
12/12/2016,1683
12/13/2016,1780
12/14/2016,1689
12/15/2016,1574
12/16/2016,1604
12/17/2016,1313
12/18/2016,973
12/19/2016,1870
12/20/2016,1901
12/21/2016,1540
12/22/2016,1205
12/23/2016,834
12/24/2016,630
12/25/2016,558
12/26/2016,629
12/27/2016,895
12/28/2016,883
12/29/2016,801
12/30/2016,638
12/31/2016,619
1/1/2017,173
